Date,Open,High,Low,Close,Volume,Adj Close
1988-06-30,259.23999,261.679993,259.149994,261.649994,454820000,130.824997
1988-06-29,260.230011,261.25,257.700012,259.200012,319180000,129.600006
1988-06-28,256.450012,260.720001,256.450012,260.209991,304740000,130.104996
1988-06-27,260.970001,261.00,256.299988,256.450012,528820000,128.225006
1988-06-24,262.25,262.549988,260.630005,260.959991,359760000,130.479996
1988-06-23,263.070007,263.470001,261.640015,262.290009,371540000,131.145004
1988-06-22,259.25,264.679993,259.160004,263.119995,435020000,131.559998
1988-06-21,256.600006,259.160004,255.050003,259.160004,310120000,129.580002
1988-06-20,258.959991,258.98999,256.100006,256.609985,233500000,128.304993
1988-06-17,256.73999,258.98999,254.610001,258.98999,687840000,129.494995
1988-06-16,261.140015,261.149994,255.440002,256.709991,323100000,128.354996
1988-06-15,261.160004,261.200012,259.589996,261.149994,300520000,130.574997
1988-06-14,258.089996,262.980011,258.040009,261.200012,454300000,130.600006
1988-06-13,257.959991,258.589996,257.029999,258.040009,250620000,129.020004
1988-06-10,257.130005,260.140015,257.119995,257.950012,311420000,128.975006
1988-06-09,258.579987,259.660004,257.119995,257.119995,470320000,128.559998
1988-06-08,252.00,259.160004,252.00,258.630005,620060000,129.315002
